"County, State",Cost Per Meal
"Phillips County, Arkansas",$3.25 
"Pike County, Arkansas",$3.35 
"Poinsett County, Arkansas",$3.09 
"Polk County, Arkansas",$3.34 
"Pope County, Arkansas",$3.31 
"Prairie County, Arkansas",$3.51 
"Pulaski County, Arkansas",$3.59 
"Randolph County, Arkansas",$3.20 
"St. Francis County, Arkansas",$3.12 
"Saline County, Arkansas",$3.62 
"Scott County, Arkansas",$3.21 
"Searcy County, Arkansas",$3.53 
"Sebastian County, Arkansas",$3.30 
"Sevier County, Arkansas",$3.38 
"Sharp County, Arkansas",$3.33 
"Stone County, Arkansas",$3.46 
"Union County, Arkansas",$3.34 
"Van Buren County, Arkansas",$3.46 
"Washington County, Arkansas",$3.59 
"White County, Arkansas",$3.31 
"Woodruff County, Arkansas",$3.32 
"Yell County, Arkansas",$3.14 
"Alameda County, California",$4.35 
"Alpine County, California",$3.92 
"Amador County, California",$4.38 
"Butte County, California",$4.01 
"Calaveras County, California",$4.59 
"Colusa County, California",$3.93 
"Contra Costa County, California",$4.31 
"Del Norte County, California",$3.85 
"El Dorado County, California",$4.77 
"Fresno County, California",$3.51 
"Glenn County, California",$3.49 
"Humboldt County, California",$4.41 
"Imperial County, California",$3.06 
"Inyo County, California",$3.48 
"Kern County, California",$3.46 
"Kings County, California",$3.41 
"Lake County, California",$4.16 
"Lassen County, California",$4.11 
"Los Angeles County, California",$3.82 
"Madera County, California",$4.15 
"Marin County, California",$5.27 
"Mariposa County, California",$4.15 
"Mendocino County, California",$4.23 
"Merced County, California",$3.59 
"Modoc County, California",$4.11 
"Mono County, California",$4.23 
"Monterey County, California",$3.76 
"Napa County, California",$4.61 
"Nevada County, California",$5.05 
"Orange County, California",$3.96 
"Placer County, California",$4.39 
"Plumas County, California",$4.11 
"Riverside County, California",$3.55 
"Sacramento County, California",$3.79 
"San Benito County, California",$4.56 
"San Bernardino County, California",$3.40 
"San Diego County, California",$3.84 
"San Francisco County, California",$4.97 
"San Joaquin County, California",$3.77 
"San Luis Obispo County, California",$4.41 
"San Mateo County, California",$4.64 
"Santa Barbara County, California",$3.82 
"Santa Clara County, California",$4.31 
"Santa Cruz County, California",$4.88 
"Shasta County, California",$3.91 
"Sierra County, California",$5.05 
"Siskiyou County, California",$3.83 
"Solano County, California",$3.81 
"Sonoma County, California",$4.56 
"Stanislaus County, California",$3.80 
"Sutter County, California",$3.62 
"Tehama County, California",$3.66 
"Trinity County, California",$3.91 
"Tulare County, California",$3.48 
"Tuolumne County, California",$4.23 
"Ventura County, California",$3.96 
"Yolo County, California",$3.95 
"Yuba County, California",$3.44 
"Adams County, Colorado",$3.67 
"Alamosa County, Colorado",$4.23 
"Arapahoe County, Colorado",$3.90 
"Archuleta County, Colorado",$4.46 
"Baca County, Colorado",$3.10 
"Bent County, Colorado",$3.52 
"Boulder County, Colorado",$4.45 
"Broomfield County, Colorado",$4.19 
"Chaffee County, Colorado",$3.71 
"Cheyenne County, Colorado",$3.14 
"Clear Creek County, Colorado",$4.19 
"Conejos County, Colorado",$4.11 
"Costilla County, Colorado",$4.11 
"Crowley County, Colorado",$3.56 
"Custer County, Colorado",$3.61 
"Delta County, Colorado",$3.66 
"Denver County, Colorado",$4.09 
"Dolores County, Colorado",$3.72 
"Douglas County, Colorado",$4.20 
"Eagle County, Colorado",$4.48 
"Elbert County, Colorado",$3.83 
"El Paso County, Colorado",$3.78 
"Fremont County, Colorado",$3.61 
"Garfield County, Colorado",$3.95 
"Gilpin County, Colorado",$4.08 
"Grand County, Colorado",$4.67 
"Gunnison County, Colorado",$3.63 
"Hinsdale County, Colorado",$4.10 
"Huerfano County, Colorado",$3.59 
"Jackson County, Colorado",$4.84 
"Jefferson County, Colorado",$4.10 
"Kiowa County, Colorado",$3.49 
"Kit Carson County, Colorado",$3.34 
"Lake County, Colorado",$4.80 
"La Plata County, Colorado",$4.37 
"Larimer County, Colorado",$4.04 
"Las Animas County, Colorado",$3.54 
"Lincoln County, Colorado",$3.91 
"Logan County, Colorado",$3.40 
"Mesa County, Colorado",$3.73 
"Mineral County, Colorado",$4.40 
"Moffat County, Colorado",$4.74 
"Montezuma County, Colorado",$3.72 
"Montrose County, Colorado",$3.94 
"Morgan County, Colorado",$3.34 
"Otero County, Colorado",$3.49 
"Ouray County, Colorado",$4.00 
"Park County, Colorado",$4.61 
"Phillips County, Colorado",$3.40 
"Pitkin County, Colorado",$4.64 
"Prowers County, Colorado",$3.17 
"Pueblo County, Colorado",$3.49 
"Rio Blanco County, Colorado",$4.09 
"Rio Grande County, Colorado",$3.71 
"Routt County, Colorado",$4.65 
"Saguache County, Colorado",$3.61 
"San Juan County, Colorado",$4.57 
"San Miguel County, Colorado",$3.90 
"Sedgwick County, Colorado",$3.36 
"Summit County, Colorado",$4.74 
"Teller County, Colorado",$3.87 
"Washington County, Colorado",$3.34 
"Weld County, Colorado",$3.84 
"Yuma County, Colorado",$3.36 
"Capitol Planning Region, Connecticut",$3.90 
"Greater Bridgeport Planning Region, Connecticut",$3.75 
"Lower Connecticut River Valley Planning Region, Connecticut",$4.22 
"Naugatuck Valley Planning Region, Connecticut",$3.90 
"Northeastern Connecticut Planning Region, Connecticut",$3.88 
"Northwest Hills Planning Region, Connecticut",$3.90 
"South Central Connecticut Planning Region, Connecticut",$3.90 
"Southeastern Connecticut Planning Region, Connecticut",$4.22 
"Western Connecticut Planning Region, Connecticut",$4.24 
"Kent County, Delaware",$3.45 
"New Castle County, Delaware",$3.87 
"Sussex County, Delaware",$3.85 
"District of Columbia, District of Columbia",$4.71 
"Alachua County, Florida",$4.02 
"Baker County, Florida",$3.38 
"Bay County, Florida",$3.77 
"Bradford County, Florida",$3.45 
"Brevard County, Florida",$3.89 
"Broward County, Florida",$4.06 
"Calhoun County, Florida",$3.49 
"Charlotte County, Florida",$3.89 
"Citrus County, Florida",$3.76 
"Clay County, Florida",$3.73 
"Collier County, Florida",$4.26 
"Columbia County, Florida",$3.48 
"DeSoto County, Florida",$3.48 
"Dixie County, Florida",$3.54 
"Duval County, Florida",$3.74 
"Escambia County, Florida",$3.63 
"Flagler County, Florida",$4.04 
"Franklin County, Florida",$3.69 
"Gadsden County, Florida",$3.32 
"Gilchrist County, Florida",$3.54 
"Glades County, Florida",$3.27 
"Gulf County, Florida",$3.77 
"Hamilton County, Florida",$3.41 
"Hardee County, Florida",$3.23 
"Hendry County, Florida",$3.27 
"Hernando County, Florida",$3.63 
"Highlands County, Florida",$3.66 
"Hillsborough County, Florida",$3.88 
"Holmes County, Florida",$3.22 
"Indian River County, Florida",$4.02 
"Jackson County, Florida",$3.49 
"Jefferson County, Florida",$3.93 
"Lafayette County, Florida",$3.41 
"Lake County, Florida",$3.78 
"Lee County, Florida",$3.94 
"Leon County, Florida",$3.93 
"Levy County, Florida",$3.54 
"Liberty County, Florida",$3.32 
"Madison County, Florida",$3.50 
"Manatee County, Florida",$4.01 
"Marion County, Florida",$3.68 
"Martin County, Florida",$4.30 
"Miami-Dade County, Florida",$4.11 
"Monroe County, Florida",$4.57 
"Nassau County, Florida",$4.14 
"Okaloosa County, Florida",$3.85 
"Okeechobee County, Florida",$3.53 
"Orange County, Florida",$3.90 
"Osceola County, Florida",$3.66 
"Palm Beach County, Florida",$4.28 
"Pasco County, Florida",$3.84 
"Pinellas County, Florida",$4.06 
"Polk County, Florida",$3.68 
"Putnam County, Florida",$3.50 
"St. Johns County, Florida",$4.34 
"St. Lucie County, Florida",$3.74 
"Santa Rosa County, Florida",$3.95 
"Sarasota County, Florida",$4.27 
"Seminole County, Florida",$4.00 
"Sumter County, Florida",$4.00 
"Suwannee County, Florida",$3.41 
"Taylor County, Florida",$3.31 
"Union County, Florida",$3.45 
"Volusia County, Florida",$3.84 
"Wakulla County, Florida",$3.69 
"Walton County, Florida",$4.35 
"Washington County, Florida",$3.22 
"Appling County, Georgia",$3.32 
"Atkinson County, Georgia",$3.30 
"Bacon County, Georgia",$3.30 
"Baker County, Georgia",$3.30 
"Baldwin County, Georgia",$3.68 
"Banks County, Georgia",$3.97 
"Barrow County, Georgia",$3.88 
"Bartow County, Georgia",$3.69 
"Ben Hill County, Georgia",$3.57 
"Berrien County, Georgia",$3.57 
"Bibb County, Georgia",$3.56 
"Bleckley County, Georgia",$3.63 
"Brantley County, Georgia",$3.42 
"Brooks County, Georgia",$3.64 
"Bryan County, Georgia",$4.02 
"Bulloch County, Georgia",$3.66 
"Burke County, Georgia",$3.19 
"Butts County, Georgia",$3.96 
"Calhoun County, Georgia",$3.49 
"Camden County, Georgia",$3.70 
"Candler County, Georgia",$3.66 
"Carroll County, Georgia",$3.64 
"Catoosa County, Georgia",$3.59 
"Charlton County, Georgia",$3.74 
"Chatham County, Georgia",$3.82 
"Chattahoochee County, Georgia",$3.77 
"Chattooga County, Georgia",$3.21 
"Cherokee County, Georgia",$3.89 
"Clarke County, Georgia",$3.85 
"Clay County, Georgia",$3.40 
"Clayton County, Georgia",$3.44 
"Clinch County, Georgia",$3.42 
"Cobb County, Georgia",$4.05 
"Coffee County, Georgia",$3.30 
"Colquitt County, Georgia",$3.57 
"Columbia County, Georgia",$3.81 
"Cook County, Georgia",$3.57 
"Coweta County, Georgia",$3.82 
"Crawford County, Georgia",$4.18 
"Crisp County, Georgia",$3.29 
"Dade County, Georgia",$3.44 
"Dawson County, Georgia",$3.97 
"Decatur County, Georgia",$3.34 
"DeKalb County, Georgia",$4.03 
"Dodge County, Georgia",$3.64 
"Dooly County, Georgia",$3.63 
"Dougherty County, Georgia",$3.49 
"Douglas County, Georgia",$3.64 
"Early County, Georgia",$3.66 
"Echols County, Georgia",$3.64 
"Effingham County, Georgia",$3.67 
"Elbert County, Georgia",$3.32 
"Emanuel County, Georgia",$3.19 
"Evans County, Georgia",$3.32 
"Fannin County, Georgia",$3.54 
"Fayette County, Georgia",$4.01 
"Floyd County, Georgia",$3.51 
"Forsyth County, Georgia",$4.05 
"Franklin County, Georgia",$3.55 
"Fulton County, Georgia",$4.43 
"Gilmer County, Georgia",$3.40 
"Glascock County, Georgia",$3.31 
"Glynn County, Georgia",$3.89 
"Gordon County, Georgia",$3.52 
"Grady County, Georgia",$3.19 
"Greene County, Georgia",$3.41 
"Gwinnett County, Georgia",$3.67 
"Habersham County, Georgia",$3.32 
"Hall County, Georgia",$3.76 
"Hancock County, Georgia",$3.72 
"Haralson County, Georgia",$3.33 
"Harris County, Georgia",$4.10 
"Hart County, Georgia",$3.29 
"Heard County, Georgia",$3.30 
"Henry County, Georgia",$3.73 
"Houston County, Georgia",$3.59 
"Irwin County, Georgia",$3.57 
"Jackson County, Georgia",$3.94 
"Jasper County, Georgia",$3.96 
"Jeff Davis County, Georgia",$3.30 
"Jefferson County, Georgia",$3.22 
"Jenkins County, Georgia",$3.22 
"Johnson County, Georgia",$3.64 
"Jones County, Georgia",$3.43 
"Lamar County, Georgia",$3.29 
"Lanier County, Georgia",$3.64 
"Laurens County, Georgia",$3.64 
"Lee County, Georgia",$3.74 
"Liberty County, Georgia",$3.41 
"Lincoln County, Georgia",$3.31 
"Long County, Georgia",$3.24 
"Lowndes County, Georgia",$3.64 
"Lumpkin County, Georgia",$3.57 
"McDuffie County, Georgia",$3.31 
"McIntosh County, Georgia",$3.93 
"Macon County, Georgia",$4.18 
"Madison County, Georgia",$3.79 
"Marion County, Georgia",$3.77 
"Meriwether County, Georgia",$3.77 
"Miller County, Georgia",$3.34 
"Mitchell County, Georgia",$3.33 
"Monroe County, Georgia",$3.31 
"Montgomery County, Georgia",$3.29 
"Morgan County, Georgia",$3.41 
"Murray County, Georgia",$3.46 
"Muscogee County, Georgia",$3.81 
"Newton County, Georgia",$3.63 
"Oconee County, Georgia",$3.93 
"Oglethorpe County, Georgia",$3.85 
"Paulding County, Georgia",$3.67 
"Peach County, Georgia",$4.18 
"Pickens County, Georgia",$3.76 
"Pierce County, Georgia",$3.42 
"Pike County, Georgia",$3.58 
"Polk County, Georgia",$3.28 
"Pulaski County, Georgia",$3.59 
"Putnam County, Georgia",$3.27 
"Quitman County, Georgia",$3.40 
"Rabun County, Georgia",$3.50 
"Randolph County, Georgia",$3.40 
"Richmond County, Georgia",$3.45 
"Rockdale County, Georgia",$3.75 
"Schley County, Georgia",$4.18 
"Screven County, Georgia",$3.66 
"Seminole County, Georgia",$3.34 
"Spalding County, Georgia",$3.58 
"Stephens County, Georgia",$3.29 
"Stewart County, Georgia",$3.77 
"Sumter County, Georgia",$3.74 
"Talbot County, Georgia",$4.09 
"Taliaferro County, Georgia",$3.31 
"Tattnall County, Georgia",$3.32 
"Taylor County, Georgia",$4.14 
"Telfair County, Georgia",$3.29 
"Terrell County, Georgia",$3.74 
"Thomas County, Georgia",$3.79 
"Tift County, Georgia",$3.57 
"Toombs County, Georgia",$3.29 
"Towns County, Georgia",$3.60 
"Treutlen County, Georgia",$3.29 
"Troup County, Georgia",$3.59 
"Turner County, Georgia",$3.29 
"Twiggs County, Georgia",$3.63 
"Union County, Georgia",$3.60 
"Upson County, Georgia",$3.29 
"Walker County, Georgia",$3.44 
"Walton County, Georgia",$3.70 
"Ware County, Georgia",$3.42 
"Warren County, Georgia",$3.31 
"Washington County, Georgia",$3.72 
"Wayne County, Georgia",$3.27 
"Webster County, Georgia",$3.74 
"Wheeler County, Georgia",$3.26 
"White County, Georgia",$3.49 
