"County, State",Cost Per Meal
"St. Joseph County, Indiana",$3.49 
"Scott County, Indiana",$3.12 
"Shelby County, Indiana",$3.32 
"Spencer County, Indiana",$3.35 
"Starke County, Indiana",$3.36 
"Steuben County, Indiana",$3.36 
"Sullivan County, Indiana",$3.32 
"Switzerland County, Indiana",$3.31 
"Tippecanoe County, Indiana",$3.43 
"Tipton County, Indiana",$3.27 
"Union County, Indiana",$3.09 
"Vanderburgh County, Indiana",$3.37 
"Vermillion County, Indiana",$3.24 
"Vigo County, Indiana",$3.24 
"Wabash County, Indiana",$3.17 
"Warren County, Indiana",$3.38 
"Warrick County, Indiana",$3.35 
"Washington County, Indiana",$3.00 
"Wayne County, Indiana",$3.30 
"Wells County, Indiana",$3.16 
"White County, Indiana",$3.28 
"Whitley County, Indiana",$3.29 
"Adair County, Iowa",$3.91 
"Adams County, Iowa",$3.42 
"Allamakee County, Iowa",$3.55 
"Appanoose County, Iowa",$3.31 
"Audubon County, Iowa",$3.53 
"Benton County, Iowa",$3.75 
"Black Hawk County, Iowa",$3.61 
"Boone County, Iowa",$3.55 
"Bremer County, Iowa",$3.63 
"Buchanan County, Iowa",$3.42 
"Buena Vista County, Iowa",$3.24 
"Butler County, Iowa",$3.63 
"Calhoun County, Iowa",$3.46 
"Carroll County, Iowa",$3.53 
"Cass County, Iowa",$3.54 
"Cedar County, Iowa",$3.47 
"Cerro Gordo County, Iowa",$3.68 
"Cherokee County, Iowa",$3.24 
"Chickasaw County, Iowa",$3.63 
"Clarke County, Iowa",$3.69 
"Clay County, Iowa",$3.24 
"Clayton County, Iowa",$3.71 
"Clinton County, Iowa",$3.46 
"Crawford County, Iowa",$3.53 
"Dallas County, Iowa",$3.91 
"Davis County, Iowa",$3.31 
"Decatur County, Iowa",$3.69 
"Delaware County, Iowa",$3.43 
"Des Moines County, Iowa",$3.51 
"Dickinson County, Iowa",$3.23 
"Dubuque County, Iowa",$3.71 
"Emmet County, Iowa",$3.23 
"Fayette County, Iowa",$3.42 
"Floyd County, Iowa",$3.68 
"Franklin County, Iowa",$3.68 
"Fremont County, Iowa",$4.10 
"Greene County, Iowa",$3.55 
"Grundy County, Iowa",$3.61 
"Guthrie County, Iowa",$3.91 
"Hamilton County, Iowa",$3.46 
"Hancock County, Iowa",$3.68 
"Hardin County, Iowa",$3.43 
"Harrison County, Iowa",$3.53 
"Henry County, Iowa",$3.40 
"Howard County, Iowa",$4.27 
"Humboldt County, Iowa",$3.46 
"Ida County, Iowa",$3.24 
"Iowa County, Iowa",$3.75 
"Jackson County, Iowa",$3.46 
"Jasper County, Iowa",$3.55 
"Jefferson County, Iowa",$3.31 
"Johnson County, Iowa",$3.86 
"Jones County, Iowa",$3.43 
"Keokuk County, Iowa",$3.43 
"Kossuth County, Iowa",$3.46 
"Lee County, Iowa",$3.47 
"Linn County, Iowa",$3.70 
"Louisa County, Iowa",$3.47 
"Lucas County, Iowa",$3.50 
"Lyon County, Iowa",$3.44 
"Madison County, Iowa",$3.91 
"Mahaska County, Iowa",$3.43 
"Marion County, Iowa",$3.50 
"Marshall County, Iowa",$3.43 
"Mills County, Iowa",$3.54 
"Mitchell County, Iowa",$3.48 
"Monona County, Iowa",$3.46 
"Monroe County, Iowa",$3.31 
"Montgomery County, Iowa",$3.54 
"Muscatine County, Iowa",$3.47 
"O'Brien County, Iowa",$3.44 
"Osceola County, Iowa",$3.23 
"Page County, Iowa",$3.42 
"Palo Alto County, Iowa",$3.24 
"Plymouth County, Iowa",$3.41 
"Pocahontas County, Iowa",$3.24 
"Polk County, Iowa",$3.79 
"Pottawattamie County, Iowa",$3.54 
"Poweshiek County, Iowa",$3.55 
"Ringgold County, Iowa",$3.42 
"Sac County, Iowa",$3.24 
"Scott County, Iowa",$3.63 
"Shelby County, Iowa",$3.53 
"Sioux County, Iowa",$3.44 
"Story County, Iowa",$3.75 
"Tama County, Iowa",$3.43 
"Taylor County, Iowa",$3.42 
"Union County, Iowa",$3.91 
"Van Buren County, Iowa",$3.40 
"Wapello County, Iowa",$3.31 
"Warren County, Iowa",$3.69 
"Washington County, Iowa",$3.41 
"Wayne County, Iowa",$3.50 
"Webster County, Iowa",$3.46 
"Winnebago County, Iowa",$3.68 
"Winneshiek County, Iowa",$4.27 
"Woodbury County, Iowa",$3.46 
"Worth County, Iowa",$3.68 
"Wright County, Iowa",$3.46 
"Allen County, Kansas",$3.40 
"Anderson County, Kansas",$3.55 
"Atchison County, Kansas",$3.55 
"Barber County, Kansas",$3.40 
"Barton County, Kansas",$3.43 
"Bourbon County, Kansas",$3.40 
"Brown County, Kansas",$3.55 
"Butler County, Kansas",$3.63 
"Chase County, Kansas",$3.52 
"Chautauqua County, Kansas",$3.60 
"Cherokee County, Kansas",$3.46 
"Cheyenne County, Kansas",$3.57 
"Clark County, Kansas",$3.32 
"Clay County, Kansas",$3.43 
"Cloud County, Kansas",$3.53 
"Coffey County, Kansas",$3.49 
"Comanche County, Kansas",$3.32 
"Cowley County, Kansas",$3.29 
"Crawford County, Kansas",$3.39 
"Decatur County, Kansas",$3.37 
"Dickinson County, Kansas",$3.44 
"Doniphan County, Kansas",$3.58 
"Douglas County, Kansas",$3.95 
"Edwards County, Kansas",$3.36 
"Elk County, Kansas",$3.36 
"Ellis County, Kansas",$3.59 
"Ellsworth County, Kansas",$3.53 
"Finney County, Kansas",$3.30 
"Ford County, Kansas",$3.36 
"Franklin County, Kansas",$3.57 
"Geary County, Kansas",$3.44 
"Gove County, Kansas",$3.65 
"Graham County, Kansas",$3.61 
"Grant County, Kansas",$3.26 
"Gray County, Kansas",$3.36 
"Greeley County, Kansas",$3.29 
"Greenwood County, Kansas",$3.52 
"Hamilton County, Kansas",$3.31 
"Harper County, Kansas",$3.37 
"Harvey County, Kansas",$3.56 
"Haskell County, Kansas",$3.30 
"Hodgeman County, Kansas",$3.36 
"Jackson County, Kansas",$3.61 
"Jefferson County, Kansas",$3.94 
"Jewell County, Kansas",$3.46 
"Johnson County, Kansas",$4.11 
"Kearny County, Kansas",$3.26 
"Kingman County, Kansas",$3.52 
"Kiowa County, Kansas",$3.36 
"Labette County, Kansas",$3.37 
"Lane County, Kansas",$3.29 
"Leavenworth County, Kansas",$3.69 
"Lincoln County, Kansas",$3.53 
"Linn County, Kansas",$3.82 
"Logan County, Kansas",$3.31 
"Lyon County, Kansas",$3.52 
"McPherson County, Kansas",$3.63 
"Marion County, Kansas",$3.53 
"Marshall County, Kansas",$3.49 
"Meade County, Kansas",$3.32 
"Miami County, Kansas",$3.84 
"Mitchell County, Kansas",$3.53 
"Montgomery County, Kansas",$3.33 
"Morris County, Kansas",$3.52 
"Morton County, Kansas",$3.26 
"Nemaha County, Kansas",$3.64 
"Neosho County, Kansas",$3.39 
"Ness County, Kansas",$3.58 
"Norton County, Kansas",$3.36 
"Osage County, Kansas",$3.61 
"Osborne County, Kansas",$3.63 
"Ottawa County, Kansas",$3.53 
"Pawnee County, Kansas",$3.46 
"Phillips County, Kansas",$3.59 
"Pottawatomie County, Kansas",$3.63 
"Pratt County, Kansas",$3.53 
"Rawlins County, Kansas",$3.62 
"Reno County, Kansas",$3.51 
"Republic County, Kansas",$3.54 
"Rice County, Kansas",$3.51 
"Riley County, Kansas",$4.13 
"Rooks County, Kansas",$3.59 
"Rush County, Kansas",$3.58 
"Russell County, Kansas",$3.65 
"Saline County, Kansas",$3.54 
"Scott County, Kansas",$3.32 
"Sedgwick County, Kansas",$3.58 
"Seward County, Kansas",$3.33 
"Shawnee County, Kansas",$3.60 
"Sheridan County, Kansas",$3.65 
"Sherman County, Kansas",$3.33 
"Smith County, Kansas",$3.50 
"Stafford County, Kansas",$3.43 
"Stanton County, Kansas",$3.29 
"Stevens County, Kansas",$3.32 
"Sumner County, Kansas",$3.40 
"Thomas County, Kansas",$3.32 
"Trego County, Kansas",$3.61 
"Wabaunsee County, Kansas",$3.64 
"Wallace County, Kansas",$3.29 
"Washington County, Kansas",$3.50 
"Wichita County, Kansas",$3.32 
"Wilson County, Kansas",$3.36 
"Woodson County, Kansas",$3.52 
"Wyandotte County, Kansas",$3.47 
"Adair County, Kentucky",$3.16 
"Allen County, Kentucky",$3.35 
"Anderson County, Kentucky",$3.24 
"Ballard County, Kentucky",$3.34 
"Barren County, Kentucky",$3.08 
"Bath County, Kentucky",$3.25 
"Bell County, Kentucky",$3.30 
"Boone County, Kentucky",$3.45 
"Bourbon County, Kentucky",$3.19 
"Boyd County, Kentucky",$3.32 
"Boyle County, Kentucky",$3.36 
"Bracken County, Kentucky",$3.36 
"Breathitt County, Kentucky",$3.27 
"Breckinridge County, Kentucky",$3.58 
"Bullitt County, Kentucky",$3.42 
"Butler County, Kentucky",$3.02 
"Caldwell County, Kentucky",$3.31 
"Calloway County, Kentucky",$3.45 
"Campbell County, Kentucky",$3.68 
"Carlisle County, Kentucky",$2.97 
"Carroll County, Kentucky",$3.31 
"Carter County, Kentucky",$3.67 
"Casey County, Kentucky",$3.07 
"Christian County, Kentucky",$3.26 
"Clark County, Kentucky",$3.36 
"Clay County, Kentucky",$3.26 
"Clinton County, Kentucky",$3.26 
"Crittenden County, Kentucky",$3.31 
"Cumberland County, Kentucky",$3.26 
"Daviess County, Kentucky",$3.26 
"Edmonson County, Kentucky",$3.47 
"Elliott County, Kentucky",$3.67 
"Estill County, Kentucky",$3.35 
"Fayette County, Kentucky",$3.62 
"Fleming County, Kentucky",$3.24 
"Floyd County, Kentucky",$3.53 
"Franklin County, Kentucky",$3.44 
"Fulton County, Kentucky",$3.17 
"Gallatin County, Kentucky",$2.87 
"Garrard County, Kentucky",$3.36 
"Grant County, Kentucky",$2.87 
"Graves County, Kentucky",$2.97 
"Grayson County, Kentucky",$3.11 
"Green County, Kentucky",$3.16 
"Greenup County, Kentucky",$3.52 
"Hancock County, Kentucky",$3.26 
"Hardin County, Kentucky",$3.34 
"Harlan County, Kentucky",$3.26 
"Harrison County, Kentucky",$3.19 
"Hart County, Kentucky",$3.08 
"Henderson County, Kentucky",$3.10 
"Henry County, Kentucky",$3.50 
"Hickman County, Kentucky",$3.17 
"Hopkins County, Kentucky",$3.31 
"Jackson County, Kentucky",$3.26 
"Jefferson County, Kentucky",$3.68 
"Jessamine County, Kentucky",$3.45 
"Johnson County, Kentucky",$3.19 
"Kenton County, Kentucky",$3.52 
"Knott County, Kentucky",$3.36 
"Knox County, Kentucky",$3.21 
"Larue County, Kentucky",$3.34 
"Laurel County, Kentucky",$3.17 
"Lawrence County, Kentucky",$3.12 
"Lee County, Kentucky",$3.26 
"Leslie County, Kentucky",$3.27 
"Letcher County, Kentucky",$3.36 
"Lewis County, Kentucky",$3.06 
"Lincoln County, Kentucky",$3.07 
"Livingston County, Kentucky",$3.27 
"Logan County, Kentucky",$3.00 
"Lyon County, Kentucky",$3.27 
"McCracken County, Kentucky",$3.34 
"McCreary County, Kentucky",$3.14 
"McLean County, Kentucky",$3.13 
"Madison County, Kentucky",$3.35 
"Magoffin County, Kentucky",$3.19 
"Marion County, Kentucky",$3.16 
"Marshall County, Kentucky",$3.27 
"Martin County, Kentucky",$3.19 
"Mason County, Kentucky",$3.06 
"Meade County, Kentucky",$3.39 
"Menifee County, Kentucky",$3.24 
"Mercer County, Kentucky",$3.16 
"Metcalfe County, Kentucky",$3.08 
"Monroe County, Kentucky",$3.07 
"Montgomery County, Kentucky",$3.25 
"Morgan County, Kentucky",$3.24 
"Muhlenberg County, Kentucky",$3.13 
"Nelson County, Kentucky",$3.37 
"Nicholas County, Kentucky",$3.19 
"Ohio County, Kentucky",$3.02 
"Oldham County, Kentucky",$3.50 
"Owen County, Kentucky",$2.87 
"Owsley County, Kentucky",$3.26 
"Pendleton County, Kentucky",$2.87 
"Perry County, Kentucky",$3.27 
"Pike County, Kentucky",$3.30 
"Powell County, Kentucky",$3.25 
"Pulaski County, Kentucky",$3.27 
"Robertson County, Kentucky",$3.19 
"Rockcastle County, Kentucky",$3.07 
"Rowan County, Kentucky",$3.24 
"Russell County, Kentucky",$3.27 
"Scott County, Kentucky",$3.56 
"Shelby County, Kentucky",$3.46 
"Simpson County, Kentucky",$3.47 
"Spencer County, Kentucky",$3.46 
"Taylor County, Kentucky",$3.16 
"Todd County, Kentucky",$3.00 
"Trigg County, Kentucky",$3.26 
"Trimble County, Kentucky",$3.31 
"Union County, Kentucky",$3.10 
"Warren County, Kentucky",$3.47 
"Washington County, Kentucky",$3.37 
"Wayne County, Kentucky",$3.27 
"Webster County, Kentucky",$3.31 
"Whitley County, Kentucky",$3.20 
"Wolfe County, Kentucky",$3.24 
"Woodford County, Kentucky",$3.66 
"Acadia Parish, Louisiana",$3.46 
"Allen Parish, Louisiana",$3.39 
"Ascension Parish, Louisiana",$3.53 
"Assumption Parish, Louisiana",$3.84 
"Avoyelles Parish, Louisiana",$3.34 
"Beauregard Parish, Louisiana",$3.46 
"Bienville Parish, Louisiana",$3.54 
"Bossier Parish, Louisiana",$3.58 
"Caddo Parish, Louisiana",$3.65 
"Calcasieu Parish, Louisiana",$3.64 
"Caldwell Parish, Louisiana",$3.50 
"Cameron Parish, Louisiana",$3.49 
"Catahoula Parish, Louisiana",$3.52 
"Claiborne Parish, Louisiana",$3.41 
"Concordia Parish, Louisiana",$3.48 
"De Soto Parish, Louisiana",$3.39 
"East Baton Rouge Parish, Louisiana",$3.61 
"East Carroll Parish, Louisiana",$3.62 
"East Feliciana Parish, Louisiana",$3.79 
"Evangeline Parish, Louisiana",$3.46 
"Franklin Parish, Louisiana",$3.47 
"Grant Parish, Louisiana",$3.65 
"Iberia Parish, Louisiana",$3.37 
"Iberville Parish, Louisiana",$3.51 
"Jackson Parish, Louisiana",$3.58 
"Jefferson Parish, Louisiana",$3.72 
"Jefferson Davis Parish, Louisiana",$3.48 
"Lafayette Parish, Louisiana",$3.71 
"Lafourche Parish, Louisiana",$3.48 
"LaSalle Parish, Louisiana",$3.65 
"Lincoln Parish, Louisiana",$3.57 
"Livingston Parish, Louisiana",$3.46 
"Madison Parish, Louisiana",$3.57 
"Morehouse Parish, Louisiana",$3.25 
"Natchitoches Parish, Louisiana",$3.29 
"Orleans Parish, Louisiana",$4.00 
"Ouachita Parish, Louisiana",$3.33 
"Plaquemines Parish, Louisiana",$3.35 
"Pointe Coupee Parish, Louisiana",$3.53 
"Rapides Parish, Louisiana",$3.43 
"Red River Parish, Louisiana",$3.44 
"Richland Parish, Louisiana",$3.47 
"Sabine Parish, Louisiana",$3.32 
"St. Bernard Parish, Louisiana",$3.51 
"St. Charles Parish, Louisiana",$3.82 
"St. Helena Parish, Louisiana",$3.63 
"St. James Parish, Louisiana",$3.59 
"St. John the Baptist Parish, Louisiana",$3.65 
"St. Landry Parish, Louisiana",$3.45 
"St. Martin Parish, Louisiana",$3.37 
"St. Mary Parish, Louisiana",$3.28 
"St. Tammany Parish, Louisiana",$3.75 
"Tangipahoa Parish, Louisiana",$3.56 
"Tensas Parish, Louisiana",$3.49 
"Terrebonne Parish, Louisiana",$3.60 
"Union Parish, Louisiana",$3.41 
"Vermilion Parish, Louisiana",$3.34 
"Vernon Parish, Louisiana",$3.46 
"Washington Parish, Louisiana",$3.50 
"Webster Parish, Louisiana",$3.29 
"West Baton Rouge Parish, Louisiana",$3.69 
"West Carroll Parish, Louisiana",$3.13 
"West Feliciana Parish, Louisiana",$3.56 
"Winn Parish, Louisiana",$3.65 
"Androscoggin County, Maine",$3.86 
"Aroostook County, Maine",$3.68 
"Cumberland County, Maine",$4.20 
"Franklin County, Maine",$3.77 
"Hancock County, Maine",$4.17 
"Kennebec County, Maine",$3.89 
"Knox County, Maine",$4.18 
"Lincoln County, Maine",$4.27 
"Oxford County, Maine",$3.74 
"Penobscot County, Maine",$3.84 
"Piscataquis County, Maine",$3.84 
"Sagadahoc County, Maine",$4.39 
"Somerset County, Maine",$3.59 
"Waldo County, Maine",$4.20 
"Washington County, Maine",$3.71 
"York County, Maine",$4.07 
"Allegany County, Maryland",$3.55 
"Anne Arundel County, Maryland",$3.89 
"Baltimore County, Maryland",$3.80 
"Calvert County, Maryland",$4.18 
"Caroline County, Maryland",$3.41 
"Carroll County, Maryland",$3.92 
"Cecil County, Maryland",$3.60 
"Charles County, Maryland",$3.71 
"Dorchester County, Maryland",$3.41 
"Frederick County, Maryland",$3.90 
"Garrett County, Maryland",$3.49 
"Harford County, Maryland",$3.90 
"Howard County, Maryland",$4.27 
"Kent County, Maryland",$4.12 
"Montgomery County, Maryland",$4.45 
"Prince George's County, Maryland",$3.95 
"Queen Anne's County, Maryland",$4.12 
"St. Mary's County, Maryland",$3.78 
"Somerset County, Maryland",$3.37 
"Talbot County, Maryland",$4.16 
"Washington County, Maryland",$3.56 
"Wicomico County, Maryland",$3.43 
"Worcester County, Maryland",$3.78 
"Baltimore city, Maryland",$4.28 
"Barnstable County, Massachusetts",$4.63 
"Berkshire County, Massachusetts",$4.24 
"Bristol County, Massachusetts",$3.82 
"Dukes County, Massachusetts",$5.16 
"Essex County, Massachusetts",$4.10 
"Franklin County, Massachusetts",$4.12 
"Hampden County, Massachusetts",$3.90 
"Hampshire County, Massachusetts",$4.48 
"Middlesex County, Massachusetts",$4.38 
"Nantucket County, Massachusetts",$5.16 
"Norfolk County, Massachusetts",$4.46 
"Plymouth County, Massachusetts",$4.21 
"Suffolk County, Massachusetts",$4.40 
"Worcester County, Massachusetts",$4.01 
"Alcona County, Michigan",$3.37 
"Alger County, Michigan",$3.82 
"Allegan County, Michigan",$3.61 
"Alpena County, Michigan",$3.41 
"Antrim County, Michigan",$3.87 
"Arenac County, Michigan",$3.25 
"Baraga County, Michigan",$3.67 
"Barry County, Michigan",$3.46 
"Bay County, Michigan",$3.32 
"Benzie County, Michigan",$3.56 
"Berrien County, Michigan",$3.57 
"Branch County, Michigan",$3.40 
"Calhoun County, Michigan",$3.42 
"Cass County, Michigan",$3.64 
"Charlevoix County, Michigan",$4.16 
"Cheboygan County, Michigan",$3.50 
"Chippewa County, Michigan",$3.47 
"Clare County, Michigan",$3.66 
"Clinton County, Michigan",$3.56 
"Crawford County, Michigan",$3.34 
"Delta County, Michigan",$3.51 
"Dickinson County, Michigan",$3.63 
"Eaton County, Michigan",$3.48 
"Emmet County, Michigan",$3.83 
"Genesee County, Michigan",$3.44 
"Gladwin County, Michigan",$3.71 
"Gogebic County, Michigan",$4.07 
"Grand Traverse County, Michigan",$3.69 
"Gratiot County, Michigan",$3.27 
"Hillsdale County, Michigan",$3.32 
"Houghton County, Michigan",$3.67 
"Huron County, Michigan",$3.24 
"Ingham County, Michigan",$3.66 
"Ionia County, Michigan",$3.33 
"Iosco County, Michigan",$3.37 
"Iron County, Michigan",$3.63 
"Isabella County, Michigan",$3.37 
"Jackson County, Michigan",$3.39 
"Kalamazoo County, Michigan",$3.54 
"Kalkaska County, Michigan",$3.87 
"Kent County, Michigan",$3.68 
"Keweenaw County, Michigan",$3.67 
"Lake County, Michigan",$3.57 
"Lapeer County, Michigan",$3.47 
"Leelanau County, Michigan",$5.49 
"Lenawee County, Michigan",$3.49 
"Livingston County, Michigan",$3.80 
"Luce County, Michigan",$3.47 
"Mackinac County, Michigan",$3.50 
"Macomb County, Michigan",$3.59 
"Manistee County, Michigan",$3.56 
"Marquette County, Michigan",$3.82 
"Mason County, Michigan",$3.44 
"Mecosta County, Michigan",$3.31 
"Menominee County, Michigan",$3.65 
"Midland County, Michigan",$3.50 
"Missaukee County, Michigan",$3.33 
"Monroe County, Michigan",$3.50 
"Montcalm County, Michigan",$3.35 
"Montmorency County, Michigan",$3.48 
"Muskegon County, Michigan",$3.37 
"Newaygo County, Michigan",$3.28 
"Oakland County, Michigan",$3.84 
"Oceana County, Michigan",$3.82 
"Ogemaw County, Michigan",$3.25 
"Ontonagon County, Michigan",$3.67 
"Osceola County, Michigan",$3.57 
"Oscoda County, Michigan",$3.25 
"Otsego County, Michigan",$3.48 
"Ottawa County, Michigan",$3.68 
"Presque Isle County, Michigan",$3.41 
"Roscommon County, Michigan",$3.34 
"Saginaw County, Michigan",$3.38 
"St. Clair County, Michigan",$3.41 
"St. Joseph County, Michigan",$3.30 
"Sanilac County, Michigan",$3.17 
"Schoolcraft County, Michigan",$3.51 
"Shiawassee County, Michigan",$3.34 
"Tuscola County, Michigan",$3.30 
"Van Buren County, Michigan",$3.41 
"Washtenaw County, Michigan",$3.97 
"Wayne County, Michigan",$3.58 
"Wexford County, Michigan",$3.33 
"Aitkin County, Minnesota",$3.80 
"Anoka County, Minnesota",$3.83 
"Becker County, Minnesota",$3.67 
"Beltrami County, Minnesota",$3.51 
"Benton County, Minnesota",$4.11 
"Big Stone County, Minnesota",$3.50 
"Blue Earth County, Minnesota",$3.84 
"Brown County, Minnesota",$3.68 
"Carlton County, Minnesota",$3.56 
"Carver County, Minnesota",$4.69 
"Cass County, Minnesota",$4.04 
"Chippewa County, Minnesota",$3.61 
"Chisago County, Minnesota",$4.91 
"Clay County, Minnesota",$3.71 
"Clearwater County, Minnesota",$3.51 
"Cook County, Minnesota",$3.67 
"Cottonwood County, Minnesota",$3.23 
"Crow Wing County, Minnesota",$3.80 
"Dakota County, Minnesota",$4.01 
"Dodge County, Minnesota",$4.04 
"Douglas County, Minnesota",$3.67 
"Faribault County, Minnesota",$3.59 
"Fillmore County, Minnesota",$4.27 
"Freeborn County, Minnesota",$3.59 
"Goodhue County, Minnesota",$3.79 
"Grant County, Minnesota",$3.67 
"Hennepin County, Minnesota",$4.44 
"Houston County, Minnesota",$3.94 
"Hubbard County, Minnesota",$3.47 
"Isanti County, Minnesota",$3.74 
"Itasca County, Minnesota",$3.54 
"Jackson County, Minnesota",$3.23 
"Kanabec County, Minnesota",$3.51 
"Kandiyohi County, Minnesota",$3.61 
"Kittson County, Minnesota",$3.55 
"Koochiching County, Minnesota",$3.54 
"Lac qui Parle County, Minnesota",$3.55 
"Lake County, Minnesota",$3.75 
"Lake of the Woods County, Minnesota",$3.51 
"Le Sueur County, Minnesota",$4.32 
"Lincoln County, Minnesota",$3.55 
"Lyon County, Minnesota",$3.55 
"McLeod County, Minnesota",$3.71 
"Mahnomen County, Minnesota",$3.67 
"Marshall County, Minnesota",$3.55 
"Martin County, Minnesota",$3.84 
"Meeker County, Minnesota",$3.52 
"Mille Lacs County, Minnesota",$3.51 
"Morrison County, Minnesota",$3.53 
"Mower County, Minnesota",$3.48 
"Murray County, Minnesota",$3.23 
"Nicollet County, Minnesota",$4.23 
"Nobles County, Minnesota",$3.23 
"Norman County, Minnesota",$3.71 
"Olmsted County, Minnesota",$3.83 
"Otter Tail County, Minnesota",$3.43 
"Pennington County, Minnesota",$3.48 
"Pine County, Minnesota",$3.47 
"Pipestone County, Minnesota",$3.59 
"Polk County, Minnesota",$3.48 
"Pope County, Minnesota",$3.67 
"Ramsey County, Minnesota",$4.22 
"Red Lake County, Minnesota",$3.48 
"Redwood County, Minnesota",$3.55 
"Renville County, Minnesota",$3.61 
"Rice County, Minnesota",$3.99 
"Rock County, Minnesota",$3.63 
"Roseau County, Minnesota",$3.48 
"St. Louis County, Minnesota",$3.75 
"Scott County, Minnesota",$4.05 
"Sherburne County, Minnesota",$4.01 
"Sibley County, Minnesota",$3.71 
"Stearns County, Minnesota",$3.62 
"Steele County, Minnesota",$3.83 
"Stevens County, Minnesota",$3.67 
"Swift County, Minnesota",$3.61 
"Todd County, Minnesota",$3.77 
"Traverse County, Minnesota",$3.67 
"Wabasha County, Minnesota",$4.28 
"Wadena County, Minnesota",$3.47 
"Waseca County, Minnesota",$3.83 
"Washington County, Minnesota",$4.07 
"Watonwan County, Minnesota",$3.68 
"Wilkin County, Minnesota",$3.43 
"Winona County, Minnesota",$3.79 
"Wright County, Minnesota",$4.06 
"Yellow Medicine County, Minnesota",$3.55 
"Adams County, Mississippi",$3.55 
"Alcorn County, Mississippi",$3.43 
"Amite County, Mississippi",$3.46 
"Attala County, Mississippi",$3.14 
"Benton County, Mississippi",$3.40 
"Bolivar County, Mississippi",$3.59 
"Calhoun County, Mississippi",$3.36 
"Carroll County, Mississippi",$3.50 
"Chickasaw County, Mississippi",$3.38 
"Choctaw County, Mississippi",$3.79 
"Claiborne County, Mississippi",$3.69 
"Clarke County, Mississippi",$3.42 
"Clay County, Mississippi",$3.79 
"Coahoma County, Mississippi",$3.41 
"Copiah County, Mississippi",$3.33 
"Covington County, Mississippi",$3.35 
"DeSoto County, Mississippi",$3.69 
"Forrest County, Mississippi",$3.68 
"Franklin County, Mississippi",$3.38 
"George County, Mississippi",$3.36 
"Greene County, Mississippi",$3.36 
"Grenada County, Mississippi",$3.45 
"Hancock County, Mississippi",$3.66 
"Harrison County, Mississippi",$3.54 
"Hinds County, Mississippi",$3.75 
"Holmes County, Mississippi",$3.44 
"Humphreys County, Mississippi",$3.44 
"Issaquena County, Mississippi",$3.54 
"Itawamba County, Mississippi",$3.35 
"Jackson County, Mississippi",$3.68 
"Jasper County, Mississippi",$3.47 
"Jefferson County, Mississippi",$3.55 
"Jefferson Davis County, Mississippi",$3.38 
"Jones County, Mississippi",$3.47 
"Kemper County, Mississippi",$3.31 
"Lafayette County, Mississippi",$4.18 
"Lamar County, Mississippi",$3.71 
"Lauderdale County, Mississippi",$3.42 
"Lawrence County, Mississippi",$3.38 
"Leake County, Mississippi",$3.14 
"Lee County, Mississippi",$3.56 
"Leflore County, Mississippi",$3.50 
"Lincoln County, Mississippi",$3.38 
"Lowndes County, Mississippi",$3.67 
"Madison County, Mississippi",$3.78 
"Marion County, Mississippi",$3.38 
"Marshall County, Mississippi",$3.35 
"Monroe County, Mississippi",$3.38 
"Montgomery County, Mississippi",$3.45 
"Neshoba County, Mississippi",$3.31 
"Newton County, Mississippi",$3.24 
"Noxubee County, Mississippi",$3.79 
"Oktibbeha County, Mississippi",$3.79 
"Panola County, Mississippi",$3.53 
"Pearl River County, Mississippi",$3.51 
"Perry County, Mississippi",$3.68 
"Pike County, Mississippi",$3.46 
"Pontotoc County, Mississippi",$3.36 
"Prentiss County, Mississippi",$3.26 
"Quitman County, Mississippi",$3.41 
"Rankin County, Mississippi",$3.71 
"Scott County, Mississippi",$3.16 
"Sharkey County, Mississippi",$3.44 
"Simpson County, Mississippi",$3.35 
"Smith County, Mississippi",$3.35 
"Stone County, Mississippi",$3.54 
"Sunflower County, Mississippi",$3.43 
"Tallahatchie County, Mississippi",$3.45 
"Tate County, Mississippi",$3.32 
"Tippah County, Mississippi",$3.40 
"Tishomingo County, Mississippi",$3.26 
"Tunica County, Mississippi",$3.32 
"Union County, Mississippi",$3.42 
"Walthall County, Mississippi",$3.38 
"Warren County, Mississippi",$3.69 
"Washington County, Mississippi",$3.54 
"Wayne County, Mississippi",$3.47 
"Webster County, Mississippi",$3.79 
"Wilkinson County, Mississippi",$3.55 
"Winston County, Mississippi",$3.31 
"Yalobusha County, Mississippi",$3.45 
"Yazoo County, Mississippi",$3.44 
"Adair County, Missouri",$3.46 
"Andrew County, Missouri",$3.48 
"Atchison County, Missouri",$3.54 
"Audrain County, Missouri",$3.42 
"Barry County, Missouri",$3.24 
"Barton County, Missouri",$3.30 
"Bates County, Missouri",$3.61 
"Benton County, Missouri",$3.41 
"Bollinger County, Missouri",$3.44 
"Boone County, Missouri",$3.83 
"Buchanan County, Missouri",$3.47 
"Butler County, Missouri",$3.24 
"Caldwell County, Missouri",$4.06 
"Callaway County, Missouri",$3.33 
"Camden County, Missouri",$3.59 
"Cape Girardeau County, Missouri",$3.42 
"Carroll County, Missouri",$3.33 
"Carter County, Missouri",$3.25 
"Cass County, Missouri",$3.63 
"Cedar County, Missouri",$3.36 
"Chariton County, Missouri",$3.35 
"Christian County, Missouri",$3.65 
"Clark County, Missouri",$3.58 
"Clay County, Missouri",$3.73 
"Clinton County, Missouri",$4.04 
