State,Food insecurity            
AK,0.104
AL,0.115
AR,0.189
AZ,0.118
CA,0.114
CO,0.099
CT,0.104
DC,0.088
DE,0.113
FL,0.12
GA,0.128
HI,0.096
IA,0.098
ID,0.113
IL,0.124
IN,0.122
KS,0.106
KY,0.145
LA,0.162
MA,0.093
MD,0.104
ME,0.109
MI,0.13
MN,0.091
MO,0.127
MS,0.162
MT,0.106
NC,0.109
ND,0.086
NE,0.129
NH,0.074
NJ,0.098
NM,0.129
NV,0.125
NY,0.123
OH,0.128
OK,0.154
OR,0.128
PA,0.108
RI,0.097
SC,0.144
SD,0.09
TN,0.117
TX,0.169
UT,0.118
VA,0.1
VT,0.092
WA,0.095
WI,0.107
WV,0.137
WY,0.131
